COAD-LAML 增强实验记录 (SyNG-BTS 2.6)
格式: case_id-标准化-batch-off_aug-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
========================================================================================================================
COAD_5-2-raw-batch1-offaug_none-CVAE1-50-miRNA-success|2026-03-30 17:35:58|0:00:26|0.0%|0/720
COAD_5-2-raw-batch1-offaug_none-CVAE1-100-miRNA-success|2026-03-30 17:36:24|0:00:26|0.1%|1/720
COAD_5-2-raw-batch1-offaug_none-CVAE1-200-miRNA-success|2026-03-30 17:36:49|0:00:25|0.3%|2/720
COAD_5-2-raw-batch1-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 17:41:44|0:04:54|0.4%|3/720
COAD_5-2-raw-batch1-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 17:45:34|0:03:50|0.6%|4/720
COAD_5-2-raw-batch1-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 17:49:32|0:03:57|0.7%|5/720
COAD_5-2-raw-batch2-offaug_none-CVAE1-50-miRNA-success|2026-03-30 17:50:09|0:00:37|0.8%|6/720
COAD_5-2-raw-batch2-offaug_none-CVAE1-100-miRNA-success|2026-03-30 17:50:44|0:00:34|1.0%|7/720
COAD_5-2-raw-batch2-offaug_none-CVAE1-200-miRNA-success|2026-03-30 17:51:18|0:00:34|1.1%|8/720
COAD_5-2-raw-batch2-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 17:56:16|0:04:57|1.2%|9/720
COAD_5-2-raw-batch2-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 18:00:59|0:04:42|1.4%|10/720
COAD_5-2-raw-batch2-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 18:04:43|0:03:44|1.5%|11/720
COAD_5-2-raw-batch3-offaug_none-CVAE1-50-miRNA-success|2026-03-30 18:05:09|0:00:26|1.7%|12/720
COAD_5-2-raw-batch3-offaug_none-CVAE1-100-miRNA-success|2026-03-30 18:05:38|0:00:28|1.8%|13/720
COAD_5-2-raw-batch3-offaug_none-CVAE1-200-miRNA-success|2026-03-30 18:06:01|0:00:22|1.9%|14/720
COAD_5-2-raw-batch3-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 18:10:24|0:04:22|2.1%|15/720
COAD_5-2-raw-batch3-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 18:14:48|0:04:24|2.2%|16/720
COAD_5-2-raw-batch3-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 18:18:50|0:04:02|2.4%|17/720
COAD_5-2-raw-batch4-offaug_none-CVAE1-50-miRNA-success|2026-03-30 18:19:16|0:00:25|2.5%|18/720
COAD_5-2-raw-batch4-offaug_none-CVAE1-100-miRNA-success|2026-03-30 18:19:39|0:00:23|2.6%|19/720
COAD_5-2-raw-batch4-offaug_none-CVAE1-200-miRNA-success|2026-03-30 18:20:07|0:00:27|2.8%|20/720
COAD_5-2-raw-batch4-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 18:25:37|0:05:30|2.9%|21/720
COAD_5-2-raw-batch4-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 18:30:09|0:04:31|3.1%|22/720
COAD_5-2-raw-batch4-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 18:34:23|0:04:14|3.2%|23/720
COAD_5-2-raw-batch5-offaug_none-CVAE1-50-miRNA-success|2026-03-30 18:34:51|0:00:28|3.3%|24/720
COAD_5-2-raw-batch5-offaug_none-CVAE1-100-miRNA-success|2026-03-30 18:35:16|0:00:24|3.5%|25/720
COAD_5-2-raw-batch5-offaug_none-CVAE1-200-miRNA-success|2026-03-30 18:35:48|0:00:32|3.6%|26/720
COAD_5-2-raw-batch5-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 18:40:39|0:04:50|3.8%|27/720
COAD_5-2-raw-batch5-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 18:44:42|0:04:03|3.9%|28/720
COAD_5-2-raw-batch5-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 18:49:23|0:04:40|4.0%|29/720
COAD_5-2-raw-batch6-offaug_none-CVAE1-50-miRNA-success|2026-03-30 18:49:55|0:00:32|4.2%|30/720
COAD_5-2-raw-batch6-offaug_none-CVAE1-100-miRNA-success|2026-03-30 18:50:22|0:00:26|4.3%|31/720
COAD_5-2-raw-batch6-offaug_none-CVAE1-200-miRNA-success|2026-03-30 18:50:43|0:00:20|4.4%|32/720
COAD_5-2-raw-batch6-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 18:54:34|0:03:51|4.6%|33/720
COAD_5-2-raw-batch6-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 18:58:57|0:04:22|4.7%|34/720
COAD_5-2-raw-batch6-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 19:02:43|0:03:46|4.9%|35/720
COAD_5-2-raw-batch7-offaug_none-CVAE1-50-miRNA-success|2026-03-30 19:03:13|0:00:30|5.0%|36/720
COAD_5-2-raw-batch7-offaug_none-CVAE1-100-miRNA-success|2026-03-30 19:03:37|0:00:23|5.1%|37/720
COAD_5-2-raw-batch7-offaug_none-CVAE1-200-miRNA-success|2026-03-30 19:04:10|0:00:32|5.3%|38/720
COAD_5-2-raw-batch7-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 19:08:41|0:04:31|5.4%|39/720
COAD_5-2-raw-batch7-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 19:13:57|0:05:15|5.6%|40/720
COAD_5-2-raw-batch7-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 19:16:56|0:02:58|5.7%|41/720
COAD_5-2-raw-batch8-offaug_none-CVAE1-50-miRNA-success|2026-03-30 19:17:23|0:00:26|5.8%|42/720
COAD_5-2-raw-batch8-offaug_none-CVAE1-100-miRNA-success|2026-03-30 19:17:49|0:00:26|6.0%|43/720
COAD_5-2-raw-batch8-offaug_none-CVAE1-200-miRNA-success|2026-03-30 19:18:38|0:00:48|6.1%|44/720
COAD_5-2-raw-batch8-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 19:22:30|0:03:52|6.2%|45/720
COAD_5-2-raw-batch8-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 19:26:40|0:04:09|6.4%|46/720
COAD_5-2-raw-batch8-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 19:31:22|0:04:42|6.5%|47/720
COAD_5-2-raw-batch9-offaug_none-CVAE1-50-miRNA-success|2026-03-30 19:31:50|0:00:28|6.7%|48/720
COAD_5-2-raw-batch9-offaug_none-CVAE1-100-miRNA-success|2026-03-30 19:32:16|0:00:25|6.8%|49/720
COAD_5-2-raw-batch9-offaug_none-CVAE1-200-miRNA-success|2026-03-30 19:32:43|0:00:27|6.9%|50/720
COAD_5-2-raw-batch9-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 19:36:29|0:03:45|7.1%|51/720
COAD_5-2-raw-batch9-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 19:40:29|0:03:59|7.2%|52/720
COAD_5-2-raw-batch9-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 19:45:24|0:04:55|7.4%|53/720
COAD_5-2-raw-batch10-offaug_none-CVAE1-50-miRNA-success|2026-03-30 19:45:49|0:00:24|7.5%|54/720
COAD_5-2-raw-batch10-offaug_none-CVAE1-100-miRNA-success|2026-03-30 19:46:17|0:00:28|7.6%|55/720
COAD_5-2-raw-batch10-offaug_none-CVAE1-200-miRNA-success|2026-03-30 19:46:47|0:00:30|7.8%|56/720
COAD_5-2-raw-batch10-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 19:51:10|0:04:22|7.9%|57/720
COAD_5-2-raw-batch10-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 19:55:04|0:03:54|8.1%|58/720
COAD_5-2-raw-batch10-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 19:59:23|0:04:19|8.2%|59/720
COAD_5-2-raw-batch11-offaug_none-CVAE1-50-miRNA-success|2026-03-30 19:59:50|0:00:26|8.3%|60/720
COAD_5-2-raw-batch11-offaug_none-CVAE1-100-miRNA-success|2026-03-30 20:00:09|0:00:19|8.5%|61/720
COAD_5-2-raw-batch11-offaug_none-CVAE1-200-miRNA-success|2026-03-30 20:00:31|0:00:21|8.6%|62/720
COAD_5-2-raw-batch11-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 20:05:32|0:05:01|8.8%|63/720
COAD_5-2-raw-batch11-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 20:10:14|0:04:41|8.9%|64/720
COAD_5-2-raw-batch11-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 20:14:54|0:04:40|9.0%|65/720
COAD_5-2-raw-batch12-offaug_none-CVAE1-50-miRNA-success|2026-03-30 20:15:25|0:00:31|9.2%|66/720
COAD_5-2-raw-batch12-offaug_none-CVAE1-100-miRNA-success|2026-03-30 20:15:48|0:00:22|9.3%|67/720
COAD_5-2-raw-batch12-offaug_none-CVAE1-200-miRNA-success|2026-03-30 20:16:25|0:00:36|9.4%|68/720
COAD_5-2-raw-batch12-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 20:21:08|0:04:43|9.6%|69/720
COAD_5-2-raw-batch12-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 20:25:45|0:04:36|9.7%|70/720
COAD_5-2-raw-batch12-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 20:29:45|0:04:00|9.9%|71/720
COAD_5-2-raw-batch13-offaug_none-CVAE1-50-miRNA-success|2026-03-30 20:30:15|0:00:30|10.0%|72/720
COAD_5-2-raw-batch13-offaug_none-CVAE1-100-miRNA-success|2026-03-30 20:30:52|0:00:36|10.1%|73/720
COAD_5-2-raw-batch13-offaug_none-CVAE1-200-miRNA-success|2026-03-30 20:31:16|0:00:23|10.3%|74/720
COAD_5-2-raw-batch13-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 20:35:08|0:03:52|10.4%|75/720
COAD_5-2-raw-batch13-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 20:39:00|0:03:52|10.6%|76/720
COAD_5-2-raw-batch13-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 20:42:49|0:03:48|10.7%|77/720
COAD_5-2-raw-batch14-offaug_none-CVAE1-50-miRNA-success|2026-03-30 20:43:17|0:00:27|10.8%|78/720
COAD_5-2-raw-batch14-offaug_none-CVAE1-100-miRNA-success|2026-03-30 20:43:36|0:00:19|11.0%|79/720
COAD_5-2-raw-batch14-offaug_none-CVAE1-200-miRNA-success|2026-03-30 20:43:56|0:00:19|11.1%|80/720
COAD_5-2-raw-batch14-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 20:47:50|0:03:53|11.2%|81/720
COAD_5-2-raw-batch14-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 20:52:26|0:04:36|11.4%|82/720
COAD_5-2-raw-batch14-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 20:55:23|0:02:56|11.5%|83/720
COAD_5-2-raw-batch15-offaug_none-CVAE1-50-miRNA-success|2026-03-30 20:55:53|0:00:29|11.7%|84/720
COAD_5-2-raw-batch15-offaug_none-CVAE1-100-miRNA-success|2026-03-30 20:56:18|0:00:25|11.8%|85/720
COAD_5-2-raw-batch15-offaug_none-CVAE1-200-miRNA-success|2026-03-30 20:56:49|0:00:31|11.9%|86/720
COAD_5-2-raw-batch15-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 21:01:13|0:04:23|12.1%|87/720
COAD_5-2-raw-batch15-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 21:04:44|0:03:31|12.2%|88/720
COAD_5-2-raw-batch15-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 21:08:37|0:03:52|12.4%|89/720
COAD_5-2-raw-batch16-offaug_none-CVAE1-50-miRNA-success|2026-03-30 21:09:06|0:00:28|12.5%|90/720
COAD_5-2-raw-batch16-offaug_none-CVAE1-100-miRNA-success|2026-03-30 21:09:29|0:00:23|12.6%|91/720
COAD_5-2-raw-batch16-offaug_none-CVAE1-200-miRNA-success|2026-03-30 21:09:58|0:00:28|12.8%|92/720
COAD_5-2-raw-batch16-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 21:14:36|0:04:37|12.9%|93/720
COAD_5-2-raw-batch16-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 21:18:53|0:04:17|13.1%|94/720
COAD_5-2-raw-batch16-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 21:22:47|0:03:53|13.2%|95/720
COAD_5-2-raw-batch17-offaug_none-CVAE1-50-miRNA-success|2026-03-30 21:23:13|0:00:26|13.3%|96/720
COAD_5-2-raw-batch17-offaug_none-CVAE1-100-miRNA-success|2026-03-30 21:23:33|0:00:19|13.5%|97/720
COAD_5-2-raw-batch17-offaug_none-CVAE1-200-miRNA-success|2026-03-30 21:23:58|0:00:25|13.6%|98/720
COAD_5-2-raw-batch17-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 21:27:18|0:03:19|13.8%|99/720
COAD_5-2-raw-batch17-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 21:31:33|0:04:15|13.9%|100/720
COAD_5-2-raw-batch17-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 21:34:53|0:03:19|14.0%|101/720
COAD_5-2-raw-batch18-offaug_none-CVAE1-50-miRNA-success|2026-03-30 21:35:22|0:00:28|14.2%|102/720
COAD_5-2-raw-batch18-offaug_none-CVAE1-100-miRNA-success|2026-03-30 21:35:47|0:00:25|14.3%|103/720
COAD_5-2-raw-batch18-offaug_none-CVAE1-200-miRNA-success|2026-03-30 21:36:12|0:00:25|14.4%|104/720
COAD_5-2-raw-batch18-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 21:40:35|0:04:22|14.6%|105/720
COAD_5-2-raw-batch18-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 21:45:36|0:05:01|14.7%|106/720
COAD_5-2-raw-batch18-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 21:49:21|0:03:44|14.9%|107/720
COAD_5-2-raw-batch19-offaug_none-CVAE1-50-miRNA-success|2026-03-30 21:49:49|0:00:27|15.0%|108/720
COAD_5-2-raw-batch19-offaug_none-CVAE1-100-miRNA-success|2026-03-30 21:50:14|0:00:24|15.1%|109/720
COAD_5-2-raw-batch19-offaug_none-CVAE1-200-miRNA-success|2026-03-30 21:50:37|0:00:23|15.3%|110/720
COAD_5-2-raw-batch19-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 21:53:44|0:03:07|15.4%|111/720
COAD_5-2-raw-batch19-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 21:56:35|0:02:50|15.6%|112/720
COAD_5-2-raw-batch19-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 22:00:00|0:03:24|15.7%|113/720
COAD_5-2-raw-batch20-offaug_none-CVAE1-50-miRNA-success|2026-03-30 22:00:23|0:00:23|15.8%|114/720
COAD_5-2-raw-batch20-offaug_none-CVAE1-100-miRNA-success|2026-03-30 22:00:53|0:00:29|16.0%|115/720
COAD_5-2-raw-batch20-offaug_none-CVAE1-200-miRNA-success|2026-03-30 22:01:21|0:00:27|16.1%|116/720
COAD_5-2-raw-batch20-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 22:04:37|0:03:16|16.2%|117/720
COAD_5-2-raw-batch20-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 22:07:40|0:03:02|16.4%|118/720
COAD_5-2-raw-batch20-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 22:11:18|0:03:38|16.5%|119/720
