COAD 增强实验记录 (SyNG-BTS 2.6)
格式: COAD_5-2-标准化-batch-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
========================================================================================================================
COAD_5-2-raw-batch1-CVAE10-1-miRNA-success|2026-02-23 18:54:19|0:00:23|0.0%|0/360
COAD_5-2-raw-batch1-CVAE10-1-RNA-success|2026-02-23 18:54:41|0:00:21|0.3%|1/360
COAD_5-2-raw-batch1-CVAE1-1-miRNA-success|2026-02-23 18:55:06|0:00:25|0.6%|2/360
COAD_5-2-raw-batch1-CVAE1-1-RNA-success|2026-02-23 18:55:27|0:00:21|0.8%|3/360
COAD_5-2-raw-batch1-CVAE1-10-miRNA-success|2026-02-23 18:55:55|0:00:27|1.1%|4/360
COAD_5-2-raw-batch1-CVAE1-10-RNA-success|2026-02-23 18:56:20|0:00:25|1.4%|5/360
COAD_5-2-raw-batch1-CVAE1-50-miRNA-success|2026-02-23 18:56:42|0:00:21|1.7%|6/360
COAD_5-2-raw-batch1-CVAE1-50-RNA-success|2026-02-23 18:57:10|0:00:28|1.9%|7/360
COAD_5-2-raw-batch1-CVAE1-100-miRNA-success|2026-02-23 18:57:31|0:00:20|2.2%|8/360
COAD_5-2-raw-batch1-CVAE1-100-RNA-success|2026-02-23 18:58:08|0:00:36|2.5%|9/360
COAD_5-2-raw-batch1-CVAE1-200-miRNA-success|2026-02-23 18:58:27|0:00:19|2.8%|10/360
COAD_5-2-raw-batch1-CVAE1-200-RNA-success|2026-02-23 18:58:52|0:00:24|3.1%|11/360
COAD_5-2-raw-batch2-CVAE10-1-miRNA-success|2026-02-23 18:59:14|0:00:21|3.3%|12/360
COAD_5-2-raw-batch2-CVAE10-1-RNA-success|2026-02-23 18:59:37|0:00:22|3.6%|13/360
COAD_5-2-raw-batch2-CVAE1-1-miRNA-success|2026-02-23 19:00:00|0:00:23|3.9%|14/360
COAD_5-2-raw-batch2-CVAE1-1-RNA-success|2026-02-23 19:00:26|0:00:25|4.2%|15/360
COAD_5-2-raw-batch2-CVAE1-10-miRNA-success|2026-02-23 19:00:53|0:00:27|4.4%|16/360
COAD_5-2-raw-batch2-CVAE1-10-RNA-success|2026-02-23 19:01:22|0:00:28|4.7%|17/360
COAD_5-2-raw-batch2-CVAE1-50-miRNA-success|2026-02-23 19:01:47|0:00:25|5.0%|18/360
COAD_5-2-raw-batch2-CVAE1-50-RNA-success|2026-02-23 19:02:13|0:00:25|5.3%|19/360
COAD_5-2-raw-batch2-CVAE1-100-miRNA-success|2026-02-23 19:02:35|0:00:22|5.6%|20/360
COAD_5-2-raw-batch2-CVAE1-100-RNA-success|2026-02-23 19:02:58|0:00:22|5.8%|21/360
COAD_5-2-raw-batch2-CVAE1-200-miRNA-success|2026-02-23 19:03:19|0:00:21|6.1%|22/360
COAD_5-2-raw-batch2-CVAE1-200-RNA-success|2026-02-23 19:03:40|0:00:20|6.4%|23/360
COAD_5-2-raw-batch3-CVAE10-1-miRNA-success|2026-02-23 19:04:00|0:00:20|6.7%|24/360
