五癌症亚类增强实验记录 (SyNG-BTS 2.6)
格式: case_id-标准化-batch-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
========================================================================================================================
COAD_5-2-raw-batch1-CVAE1-10-miRNA-success|2026-02-24 20:14:09|0:00:26|0.0%|0/900
COAD_5-2-raw-batch1-CVAE1-50-miRNA-success|2026-02-24 20:14:31|0:00:21|0.1%|1/900
COAD_5-2-raw-batch1-CVAE1-100-miRNA-success|2026-02-24 20:14:51|0:00:19|0.2%|2/900
COAD_5-2-raw-batch2-CVAE1-10-miRNA-success|2026-02-24 20:15:15|0:00:24|0.3%|3/900
COAD_5-2-raw-batch2-CVAE1-50-miRNA-success|2026-02-24 20:15:40|0:00:24|0.4%|4/900
COAD_5-2-raw-batch2-CVAE1-100-miRNA-success|2026-02-24 20:16:02|0:00:22|0.6%|5/900
COAD_5-2-raw-batch3-CVAE1-10-miRNA-success|2026-02-24 20:16:26|0:00:23|0.7%|6/900
COAD_5-2-raw-batch3-CVAE1-50-miRNA-success|2026-02-24 20:16:49|0:00:23|0.8%|7/900
COAD_5-2-raw-batch3-CVAE1-100-miRNA-success|2026-02-24 20:17:14|0:00:24|0.9%|8/900
COAD_5-2-raw-batch4-CVAE1-10-miRNA-success|2026-02-24 20:17:39|0:00:25|1.0%|9/900
COAD_5-2-raw-batch4-CVAE1-50-miRNA-success|2026-02-24 20:18:02|0:00:23|1.1%|10/900
COAD_5-2-raw-batch4-CVAE1-100-miRNA-success|2026-02-24 20:18:23|0:00:20|1.2%|11/900
COAD_5-2-raw-batch5-CVAE1-10-miRNA-success|2026-02-24 20:18:48|0:00:24|1.3%|12/900
COAD_5-2-raw-batch5-CVAE1-50-miRNA-success|2026-02-24 20:19:13|0:00:25|1.4%|13/900
COAD_5-2-raw-batch5-CVAE1-100-miRNA-success|2026-02-24 20:19:35|0:00:21|1.6%|14/900
COAD_5-2-raw-batch6-CVAE1-10-miRNA-success|2026-02-24 20:19:55|0:00:19|1.7%|15/900
COAD_5-2-raw-batch6-CVAE1-50-miRNA-success|2026-02-24 20:20:19|0:00:24|1.8%|16/900
COAD_5-2-raw-batch6-CVAE1-100-miRNA-success|2026-02-24 20:20:41|0:00:21|1.9%|17/900
COAD_5-2-raw-batch7-CVAE1-10-miRNA-success|2026-02-24 20:21:05|0:00:24|2.0%|18/900
COAD_5-2-raw-batch7-CVAE1-50-miRNA-success|2026-02-24 20:21:29|0:00:24|2.1%|19/900
COAD_5-2-raw-batch7-CVAE1-100-miRNA-success|2026-02-24 20:21:50|0:00:20|2.2%|20/900
COAD_5-2-raw-batch8-CVAE1-10-miRNA-success|2026-02-24 20:22:16|0:00:25|2.3%|21/900
